sat_sum,hs_gpa,fy_gpa
508,3.4,3.18
488,4.0,3.33
464,3.75,3.25
380,3.75,2.42
428,4.0,2.63
444,4.0,2.91
488,2.8,2.83
460,3.8,2.51
576,4.0,3.82
340,2.6,2.54
512,3.75,3.38
408,3.75,3.02
352,2.8,2.6
432,3.75,3.81
480,3.5,3.02
448,3.75,3.48
388,3.2,2.15
484,4.0,3.8
412,3.75,3.13
408,4.0,3.4
560,4.0,3.59
288,3.25,1.62
468,3.9,3.61
428,3.5,2.54
344,3.5,2.51
368,2.0,0.0
540,4.0,3.72
364,2.3,0.87
392,3.5,2.79
320,3.5,2.0
428,4.0,3.69
528,3.75,3.48
360,3.0,2.49
480,4.0,3.92
504,2.8,3.05
332,2.75,2.4
532,3.5,2.71
428,3.75,1.58
324,2.0,1.38
496,3.75,2.52
328,2.75,2.16
456,3.0,2.57
468,2.25,2.64
348,3.5,2.47
404,3.0,1.0
304,3.0,2.73
324,2.67,2.42
332,3.0,2.3
496,3.8,3.33
364,3.1,2.37
492,3.0,2.11
440,3.0,2.91
388,3.0,3.29
436,3.25,2.67
520,3.2,2.78
428,3.8,3.13
416,2.5,2.94
528,4.0,4.0
492,3.75,2.9
356,3.5,2.92
384,2.9,1.91
368,2.9,3.11
504,2.3,2.02
424,2.8,2.51
416,4.0,3.51
396,4.0,3.24
416,3.8,2.02
520,4.0,2.65
380,3.25,1.74
436,2.7,1.54
408,3.5,2.34
508,3.0,2.49
464,3.25,2.49
420,2.75,2.08
452,3.0,2.19
352,2.5,1.8
300,2.8,2.22
480,3.5,2.95
404,3.25,2.67
424,4.0,2.89
404,3.5,2.66
432,3.0,2.18
436,3.5,2.81
376,3.75,2.06
468,4.0,2.8
368,3.0,2.59
396,3.5,2.33
440,4.0,3.55
508,4.0,2.75
372,3.75,3.59
316,3.25,1.54
432,3.75,2.98
296,3.0,1.28
384,2.5,1.24
468,4.0,2.93
420,3.75,2.48
500,4.0,2.98
436,2.7,1.17
404,3.5,2.04
480,3.2,2.37
432,3.5,3.0
480,2.75,2.98
428,3.4,2.55
388,2.8,1.86
456,2.0,2.09
544,4.0,2.89
504,4.0,3.38
468,3.9,3.94
464,3.0,2.28
524,3.0,2.43
436,4.0,2.77
416,2.0,3.33
428,3.0,2.39
356,3.7,2.37
512,4.0,3.82
508,3.75,3.63
476,2.5,1.78
428,3.0,3.22
564,3.5,2.42
500,4.0,3.82
428,4.0,3.6
364,3.75,1.84
492,3.5,3.3
516,3.8,3.7
440,3.0,2.89
328,2.3,2.38
396,3.75,2.97
404,4.0,3.37
484,3.75,3.18
344,3.0,1.33
484,4.0,3.0
496,4.0,3.75
388,2.6,2.24
372,2.75,2.44
500,2.5,2.72
480,2.5,1.69
444,3.75,3.19
340,3.5,3.1
452,4.0,2.71
548,4.0,3.45
388,3.25,3.36
392,3.2,1.0
496,3.75,3.08
416,2.75,3.16
532,3.75,3.66
488,4.0,3.82
536,3.75,3.94
464,3.75,3.79
412,3.25,2.91
380,3.0,2.33
400,3.5,3.06
408,3.0,1.91
396,3.0,2.47
456,3.5,2.96
436,3.67,2.13
280,2.4,1.98
492,3.5,3.64
412,2.0,0.6
348,3.0,2.39
452,3.5,1.95
460,4.0,3.37
372,4.0,3.02
352,3.0,1.03
420,4.0,3.42
492,4.0,3.31
548,3.5,2.31
492,4.0,2.61
360,2.0,0.0
532,3.7,3.24
448,4.0,3.48
284,2.8,2.26
368,3.25,2.4
444,3.75,3.76
440,2.75,1.14
428,2.25,1.47
388,3.0,2.0
408,2.25,1.13
360,2.5,1.7
344,2.0,1.14
412,3.2,2.54
408,2.5,1.64
352,2.5,2.95
488,3.0,3.17
352,4.0,1.12
372,2.5,1.72
416,2.3,1.91
376,2.9,3.0
448,2.75,3.2
524,3.0,3.25
512,3.2,2.26
360,3.0,2.73
460,3.4,2.47
476,4.0,3.19
368,3.5,1.38
436,3.25,2.8
452,3.4,2.52
432,2.75,2.53
304,2.0,2.24
268,2.25,1.43
340,2.5,2.06
420,3.5,3.52
336,2.25,1.58
280,2.2,0.82
516,2.5,2.21
392,2.0,1.18
460,2.5,3.64
368,2.7,2.37
328,2.25,1.18
492,4.0,3.19
412,3.0,1.59
472,3.75,3.14
428,2.75,3.63
460,3.0,3.13
480,4.0,3.09
392,2.75,2.21
476,4.0,2.86
404,2.67,1.16
460,4.0,3.89
532,4.0,3.89
352,3.0,1.45
424,3.0,2.69
400,2.6,2.27
412,3.33,2.25
476,4.0,3.36
472,3.0,2.32
440,4.0,2.91
492,4.0,3.77
448,3.8,3.04
356,2.75,1.44
408,3.8,2.07
460,3.25,2.69
400,3.75,2.67
420,3.5,1.97
368,2.25,1.08
308,2.0,0.92
288,3.5,1.7
456,3.25,3.0
440,3.75,3.34
368,3.75,1.69
520,4.0,3.37
372,2.75,1.52
396,3.75,2.73
412,3.25,1.91
520,3.7,2.98
296,3.1,2.33
340,3.0,1.79
392,3.75,3.48
416,3.0,1.63
432,3.0,2.33
468,3.75,3.35
532,4.0,3.43
356,2.3,1.71
416,3.75,3.19
372,2.5,1.69
444,4.0,3.08
260,3.0,1.43
484,3.25,2.79
368,3.5,1.7
380,4.0,3.23
328,3.5,2.12
432,4.0,3.67
532,4.0,3.94
388,3.5,1.4
376,3.4,1.9
316,3.6,1.56
440,4.0,1.85
460,3.0,3.0
352,3.4,2.37
352,3.75,2.31
500,4.0,3.77
364,3.8,2.35
480,4.0,3.79
416,3.75,2.54
468,3.0,2.19
356,3.0,2.36
372,2.2,2.05
348,3.25,2.19
420,3.25,1.8
472,2.8,3.23
400,3.3,0.48
432,2.1,2.02
440,3.4,2.44
376,2.4,1.77
416,3.7,3.2
432,2.7,2.15
440,3.5,2.6
460,3.6,3.38
424,2.5,0.55
412,4.0,3.76
380,3.25,3.06
384,3.1,1.7
480,2.1,2.62
436,2.8,1.65
424,3.5,1.89
324,3.1,0.77
460,2.9,3.24
412,2.8,2.93
496,4.0,3.57
432,2.8,2.72
404,3.3,2.4
392,2.5,2.03
420,2.7,2.21
472,2.3,2.15
392,2.6,1.75
376,2.75,2.04
360,2.75,1.15
392,2.5,1.79
508,3.8,3.63
376,2.7,2.0
472,3.25,3.13
404,2.3,2.67
308,3.2,2.24
336,2.9,3.04
364,2.8,3.27
344,3.4,3.28
436,2.5,2.56
444,3.8,2.85
448,3.3,3.38
476,3.2,2.84
408,3.3,3.22
492,2.6,2.24
368,3.1,2.08
372,3.1,2.67
348,3.2,2.13
548,3.8,3.55
432,3.3,1.5
400,2.8,2.54
428,3.5,1.19
392,2.2,2.08
324,2.75,0.0
372,3.25,1.69
356,3.0,2.26
440,3.7,3.13
372,2.9,1.73
324,2.7,2.58
408,2.8,2.09
500,3.7,3.0
460,3.0,2.04
500,3.5,2.94
348,4.0,2.31
460,3.75,2.63
448,3.5,2.79
392,2.9,1.9
388,3.5,3.0
412,2.8,1.83
408,2.8,2.33
432,3.2,3.24
448,3.2,2.7
392,2.7,1.5
372,3.0,3.0
448,2.4,2.34
496,4.0,3.44
432,3.0,1.88
468,2.1,2.86
296,2.75,2.56
324,2.0,1.49
424,2.8,2.5
396,2.9,1.83
448,2.5,2.38
308,3.1,1.82
356,2.8,2.12
424,3.1,2.59
440,3.0,2.59
360,3.1,2.02
372,3.7,2.93
372,2.9,2.24
432,2.5,2.19
404,3.4,1.95
512,4.0,3.54
492,3.75,2.86
416,3.8,2.17
380,3.4,2.3
400,3.5,2.48
352,3.5,3.02
424,3.5,3.14
460,2.7,2.22
348,2.9,3.27
308,2.5,2.47
412,2.8,2.85
408,4.0,3.77
364,2.7,2.91
412,3.5,2.61
412,4.0,3.78
400,2.9,1.19
488,3.2,2.37
456,3.7,3.69
408,2.7,1.73
388,2.7,2.48
436,3.0,2.35
408,3.5,1.95
456,3.2,3.46
412,2.8,2.27
392,2.5,2.14
428,2.5,3.34
376,3.3,2.42
476,3.3,3.22
472,2.4,1.3
432,3.2,1.79
344,3.0,2.8
360,2.6,2.8
472,2.4,0.8
368,3.5,2.45
408,3.7,2.33
328,2.7,1.76
332,3.0,2.88
408,3.1,2.52
428,3.2,1.54
360,3.7,2.66
408,3.9,3.16
428,3.8,1.94
376,3.1,2.91
452,2.9,2.37
500,4.0,3.67
436,4.0,4.0
396,2.6,2.94
412,2.9,1.37
352,2.75,2.13
412,3.3,2.68
408,2.7,2.71
320,2.4,1.57
436,2.5,2.38
504,3.4,1.16
468,3.9,2.81
420,3.4,2.52
336,2.5,1.72
368,2.9,2.23
448,3.0,1.43
392,2.5,1.54
460,3.8,3.24
432,3.6,2.18
376,2.3,1.77
440,3.4,2.16
348,3.5,2.49
460,4.0,3.74
412,2.8,3.29
316,2.9,1.37
448,4.0,3.83
520,3.7,2.9
448,2.8,2.2
448,2.7,2.11
336,2.5,3.15
396,3.4,2.65
352,3.0,1.98
452,3.8,2.93
416,3.7,3.1
384,3.7,3.34
444,3.6,2.75
408,3.4,2.9
460,4.0,2.06
328,3.2,1.87
412,3.2,2.8
376,2.6,1.38
448,3.9,2.37
348,2.7,0.9
388,2.5,2.38
308,2.6,1.62
344,2.9,1.42
296,2.8,1.52
424,3.7,2.65
392,2.9,1.92
428,3.3,0.66
444,3.8,1.85
416,2.2,2.36
404,3.3,1.86
360,2.7,1.35
416,2.9,2.8
436,2.8,2.24
376,3.8,2.17
456,3.3,3.22
352,3.1,2.02
372,2.9,1.52
360,2.8,2.27
352,2.6,2.85
380,2.9,2.62
404,3.5,2.54
436,3.8,3.76
392,2.9,1.71
400,3.3,1.88
404,3.3,2.54
428,3.2,2.25
352,2.9,1.32
308,3.5,2.71
464,3.3,2.67
448,3.4,2.0
408,3.7,3.26
300,2.9,1.51
380,2.7,2.33
452,3.8,2.82
404,3.8,3.51
368,3.7,1.0
388,3.75,3.27
412,2.8,0.73
416,4.0,3.17
404,4.0,2.69
356,2.7,0.52
348,2.2,1.77
388,3.7,2.35
440,2.9,2.06
440,3.4,2.23
376,2.6,1.67
516,4.0,3.16
352,3.9,2.24
372,3.7,2.71
464,3.9,3.98
336,2.8,2.2
340,2.5,2.88
444,3.4,3.0
340,3.7,1.55
412,3.9,2.0
212,2.47,2.19
484,3.5,3.86
400,2.8,1.47
484,4.0,3.94
380,2.4,1.37
412,3.5,3.08
472,3.8,1.95
484,3.8,3.52
412,3.2,1.74
412,3.2,3.17
468,3.5,2.67
416,2.3,2.14
420,3.0,2.54
416,2.3,1.98
364,2.3,2.04
424,2.1,1.7
460,3.7,1.8
576,4.0,4.0
400,3.9,4.0
308,3.0,0.61
424,3.8,3.34
416,3.7,2.92
460,3.8,3.62
532,3.2,3.07
392,3.4,3.0
416,3.2,2.43
332,3.4,3.11
400,3.1,1.5
412,3.7,2.58
372,3.33,2.24
380,2.1,1.96
404,2.5,2.23
416,2.8,2.24
400,2.9,2.76
404,3.1,2.59
372,2.1,1.68
340,3.1,2.92
444,2.8,2.31
392,3.5,2.56
376,3.8,2.73
448,3.4,3.11
348,2.8,1.83
376,2.6,2.88
384,3.0,3.14
388,2.6,1.87
388,3.1,2.27
424,3.4,2.56
336,3.1,2.35
388,3.4,3.02
440,3.8,2.44
432,3.7,1.33
432,3.25,1.13
424,3.4,3.4
336,2.7,1.96
408,3.5,1.96
424,3.8,3.17
412,3.2,1.6
408,3.0,2.37
420,3.5,1.43
440,3.2,2.74
376,3.2,1.95
368,3.1,2.42
400,3.6,3.04
440,2.5,3.0
368,3.5,3.73
412,3.1,3.17
476,3.0,1.57
448,3.2,1.71
432,2.5,2.09
360,2.6,3.4
284,3.5,2.1
360,2.6,1.66
412,3.5,3.16
444,3.7,2.09
424,3.7,3.6
408,2.7,0.85
464,3.3,1.88
396,3.5,2.53
480,3.7,1.82
372,2.7,1.33
392,2.56,2.81
348,1.8,1.49
416,3.5,2.51
476,3.1,1.61
320,2.7,1.65
280,2.8,1.7
416,3.6,3.13
416,3.5,2.6
300,3.25,1.87
304,3.2,2.24
364,2.8,1.6
420,3.7,2.98
392,3.9,3.6
388,3.1,1.43
424,3.7,3.02
400,3.1,3.15
344,3.3,2.0
316,2.6,1.57
288,2.8,1.78
420,3.6,2.77
392,3.8,3.25
456,3.5,3.3
316,4.5,1.13
412,3.9,3.17
384,3.4,2.04
380,3.0,1.69
424,2.5,1.8
456,3.5,2.29
516,4.0,3.41
296,3.5,2.0
412,4.0,3.11
384,2.7,2.38
432,3.3,2.62
504,3.8,3.71
376,3.8,3.27
412,2.5,2.4
456,2.5,3.25
464,3.3,1.98
440,3.5,3.04
404,4.0,2.8
532,4.0,4.0
424,2.5,1.78
480,3.0,2.54
340,2.8,1.92
520,4.0,3.48
400,2.74,1.62
428,3.5,2.56
404,3.3,3.35
428,2.7,2.0
340,3.0,1.97
436,3.0,3.21
336,2.6,0.67
392,3.5,2.38
368,2.3,1.86
372,2.3,2.53
440,4.0,1.44
416,3.5,2.19
308,2.8,1.44
372,3.4,2.36
368,3.0,2.21
388,3.0,2.6
408,3.25,0.36
432,3.3,2.47
360,3.5,2.16
368,2.7,1.63
416,2.8,1.83
412,2.1,2.66
388,3.3,3.04
368,2.4,2.54
384,2.6,2.02
440,2.2,1.49
412,3.8,1.13
332,3.1,2.02
404,3.7,2.9
380,2.75,1.81
456,3.6,4.0
312,2.0,2.0
340,2.75,2.54
388,4.0,2.65
540,4.0,3.43
368,3.7,2.91
400,4.0,3.21
356,2.5,1.75
288,2.3,3.12
456,3.0,2.09
420,3.5,2.11
424,3.3,2.56
388,3.2,2.56
372,3.0,1.24
460,3.0,2.8
360,2.6,2.17
372,3.4,2.42
360,3.6,3.56
432,3.3,3.24
408,3.6,3.42
472,3.8,2.53
376,2.8,2.38
380,2.4,2.24
352,2.7,2.12
416,2.8,2.63
404,2.5,1.98
400,3.2,1.69
468,4.0,2.47
436,4.0,2.34
360,2.67,2.58
376,3.0,2.0
388,2.7,1.63
428,3.5,3.37
364,2.8,1.64
488,3.8,2.88
480,4.0,3.12
448,4.0,2.33
476,3.0,2.45
376,2.5,2.22
464,3.5,2.17
368,2.3,2.44
388,3.1,2.98
392,2.7,2.29
384,3.5,2.56
260,2.5,1.8
412,3.1,2.43
400,3.5,2.61
372,3.1,3.09
400,2.6,2.53
464,2.7,2.48
484,3.5,3.94
448,3.4,2.86
464,2.9,2.31
336,2.6,2.18
424,3.25,3.07
340,2.1,1.64
448,3.0,2.7
344,3.5,2.08
448,4.0,3.51
440,4.0,3.63
332,3.0,1.63
460,4.0,3.76
416,2.8,2.96
352,3.25,2.83
300,3.0,1.36
504,3.8,2.91
428,3.2,2.65
372,3.0,2.56
468,3.0,1.89
428,2.8,2.04
496,3.25,2.67
504,3.75,3.29
388,2.6,1.74
340,2.8,2.98
396,2.5,2.28
368,2.4,1.21
368,2.5,1.24
436,3.5,3.47
364,3.1,2.37
380,4.0,3.49
412,2.7,1.41
404,4.0,2.04
472,3.7,3.49
460,2.6,1.7
380,2.5,1.19
404,3.6,3.63
396,3.9,2.98
440,3.4,2.35
420,3.6,2.38
456,3.8,2.38
404,3.2,2.4
356,2.5,1.92
396,3.7,2.86
416,3.25,2.9
404,3.7,3.44
472,2.9,1.88
348,2.8,2.52
408,4.0,1.17
500,2.9,3.16
408,3.25,1.64
360,2.75,2.17
288,2.67,1.62
436,3.0,2.37
360,3.0,3.19
400,3.0,2.29
512,4.0,3.41
476,4.0,3.24
432,3.3,2.64
436,3.5,3.35
388,2.75,1.87
400,2.7,1.5
384,4.0,2.98
484,3.1,2.95
416,2.8,2.2
488,3.8,3.11
364,4.0,3.12
396,3.3,2.69
412,4.0,2.91
456,2.6,2.67
432,3.2,2.49
444,2.5,2.98
488,3.1,3.06
452,3.1,2.18
480,4.0,3.5
380,2.8,2.1
416,3.4,3.8
440,3.25,1.8
416,4.0,2.14
392,3.3,3.4
372,2.8,2.66
420,3.5,2.36
352,2.9,1.98
376,3.0,1.62
436,3.2,2.03
428,2.3,1.84
468,3.0,2.02
484,3.5,3.15
344,2.75,1.54
372,2.8,2.6
364,3.8,2.58
448,3.5,3.11
292,2.7,1.19
428,3.5,2.23
388,2.2,1.78
384,3.0,2.24
360,3.3,2.29
416,2.9,2.38
332,2.2,0.95
392,2.4,2.05
360,3.1,2.49
432,3.3,1.12
320,2.03,1.31
336,3.3,2.38
340,3.0,2.74
448,3.0,4.0
412,3.8,2.66
456,3.5,2.96
420,2.1,1.88
408,2.7,1.4
432,3.5,3.31
400,3.75,3.3
512,4.0,3.21
404,3.25,3.22
364,2.8,2.28
368,3.2,2.52
416,4.0,2.62
336,2.0,2.0
356,3.6,2.02
340,2.4,2.24
380,4.0,3.12
416,2.75,2.28
432,3.0,2.13
344,2.7,1.55
472,3.7,2.4
424,2.6,1.59
396,3.0,2.94
464,3.2,2.29
452,3.5,2.98
352,3.1,3.66
388,2.9,0.38
484,3.7,2.65
512,3.7,1.95
416,3.2,3.06
484,3.7,3.87
412,2.4,2.64
392,2.4,2.54
324,2.5,2.42
444,3.3,3.44
520,4.0,3.91
408,4.0,2.46
468,3.75,2.79
356,2.7,1.79
424,4.0,3.22
324,2.3,0.57
524,4.0,3.48
428,3.5,2.13
516,4.0,3.18
380,3.75,3.81
444,2.7,2.49
476,3.0,1.87
432,3.5,2.63
368,2.2,1.91
404,3.8,3.1
504,4.0,3.12
388,3.1,2.19
500,3.6,3.21
504,2.7,3.4
448,3.1,2.37
428,3.75,2.67
464,3.5,3.59
304,3.1,1.93
472,3.8,3.17
332,2.75,2.04
488,3.2,1.96
376,3.7,2.07
316,2.2,2.35
440,3.75,3.06
392,2.9,2.48
436,3.3,2.58
400,2.8,2.15
360,2.7,2.42
484,3.2,2.09
448,2.5,2.27
380,2.7,2.31
396,3.0,2.24
412,3.5,1.92
340,2.0,1.73
492,2.5,3.38
388,3.8,3.02
416,3.2,2.29
352,2.5,1.33
540,3.3,2.83
444,3.33,3.34
348,3.2,1.51
412,3.2,1.16
484,3.75,1.94
432,3.8,1.74
420,3.2,2.17
460,3.3,2.28
452,3.5,2.75
428,3.0,2.8
312,3.8,2.53
504,3.7,2.43
352,2.7,1.84
468,3.7,2.05
444,3.0,2.48
488,3.3,2.75
448,2.3,3.24
360,3.6,2.69
468,3.0,2.21
548,3.8,3.49
356,2.3,2.24
452,2.9,2.85
360,2.5,1.62
472,3.7,3.03
360,3.6,3.1
344,2.5,1.59
436,2.8,2.21
508,3.3,2.43
424,3.5,2.46
464,4.0,2.96
416,2.8,2.2
356,2.8,2.31
392,3.25,2.35
492,2.75,2.57
376,2.8,3.04
364,3.0,2.14
476,4.0,2.27
436,3.0,1.83
472,3.0,2.75
412,2.5,1.87
476,3.5,3.22
428,2.5,3.1
436,2.9,2.29
392,2.8,2.1
416,3.5,2.96
388,2.0,0.47
380,3.5,2.88
488,4.0,3.83
424,3.4,1.6
364,2.5,2.23
376,2.5,3.07
492,3.8,2.6
412,2.75,1.15
504,3.5,2.88
500,3.7,3.71
364,4.0,3.41
528,3.5,3.65
284,2.3,1.65
444,3.7,2.15
408,3.5,2.57
576,4.0,3.66
504,4.0,3.31
392,3.0,2.84
416,2.7,1.83
476,3.6,3.35
468,3.3,1.35
380,3.4,3.1
440,3.7,3.1
400,3.0,2.19
364,3.0,3.35
464,4.0,3.91
424,2.7,1.83
280,2.2,1.29
568,4.0,2.55
400,3.25,2.68
344,3.5,2.96
380,3.0,2.45
420,3.25,2.7
464,3.0,2.24
296,2.9,2.04
412,3.67,2.38
408,2.5,1.79
364,3.0,2.0
392,3.04,2.24
356,2.5,1.63
280,2.3,1.13
388,2.5,1.73
452,2.2,1.36
440,3.0,2.81
352,3.1,1.17
476,3.5,2.48
472,3.2,1.98
396,2.8,1.72
408,3.5,2.69
424,4.0,2.98
404,4.0,3.4
564,4.0,3.48
352,2.5,2.15
456,3.0,2.4
416,3.0,2.42
400,3.7,2.19
432,3.3,1.5
456,3.5,3.17
480,2.3,1.94
372,2.7,2.38
